FAC_ID,FAC_NAME,OP_BA_ID,OPERATOR,SUB_CODE,FAC_SUB_TY,LIC_NUMBER,LIC_TYPE,EDCT_TYPE,EDCT_DESCR,LIC_BA_ID,LICENSEE,FAC_STATUS,LOC_SOURCE,icon_url
ABBT0121285,Ethel 16-32,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0437490",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0121673,Pennwest Swan Hills,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"0443770",W,"360",Single Well <0.3,A7L1,Razor Energy Corp.,Suspended,Well Licence,./0.png
ABBT0122732,Swan Hills 14-01,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0041999",W,,,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0124706,Ethel 102/14-33,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0443142",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0125430,Penn West 01-03 Oswb,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"0449917",W,"360",Single Well <0.3,A7L1,Razor Energy Corp.,Suspended,Well Licence,./0.png
ABBT0125436,Acl Hz Swan Hills 06-24,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0449785",W,"570",Single Well <2.0,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0124319,Pennwest Swan Hills,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"0439645",W,"360",Single Well <0.3,A7L1,Razor Energy Corp.,Suspended,Well Licence,./0.png
ABBT0125835,12-21 Swb,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0020966",W,,,A7N3,Acquisition Oil Corp.,Suspended,Well Licence,./0.png
ABBT0124705,Ethel 102/07-04,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0443143",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0124926,Swanh 10-22-68-11w5 Swb,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0043730",W,,,A7N3,Acquisition Oil Corp.,Active,Well Licence,./0.png
ABBT0126570,Acl Hz Swanh 07-02,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0453870",W,"570",Single Well <2.0,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0127399,Pbn Swanh 10-5-69-9w5,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0455233",W,"360",Single Well <0.3,A7G2,Ridgeback Resources Inc.,Suspended,Well Licence,./0.png
