X,Y,CGNDB_ID,GEONAME,LANGUAGE,SYLLABIC,GENERIC,CATEGORY,CONCISE,FEATURE_ID,LOCATION,PROV_TERR,REL_SCALE,DECISION,SOURCE,icon_url
-115.09306,51.043056,IASIY,Jewell Pass,Undetermined,,Pass,Terrain Feature,VALL,0cade14a849c20c341575e91ad979ad4,"17,18-24-8-W5",Alberta,"50000",1992-01-22,Alberta Culture and Tourism,./3.png
-115.6508333,55.3222222,IAUAX,Jim Cook's Creek,Undetermined,,Creek,Water Feature,RIV,0d0b15e6849c20c3ef1ac1be490e082c,17-73-11-W5,Alberta,"50000",2001-07-21,Alberta Culture and Tourism,./0.png
-114.0408333,49.7980556,IAMWA,Jim Creek,Undetermined,,Creek,Water Feature,RIV,0c885611849c20c30bf6fdd1c351021b,2-10-1-W5,Alberta,"50000",1941-12-17,Alberta Culture and Tourism,./0.png
-117.73333,56.9,IAMWB,Jim Creek,Undetermined,,Creek,Water Feature,RIV,0c8856fb849c20c31ccd4f8d303d2c5c,14-91-24-W5,Alberta,"250000",1955-11-03,Alberta Culture and Tourism,./0.png
-114.4061111,50.5291666,IAAZW,Jim Creek,Undetermined,,Creek,Water Feature,RIV,0cff6a02849c20c3c02961abf9008cfc,19-18-3-W5,Alberta,"250000",1979-09-25,Alberta Culture and Tourism,./0.png
-113.03333,54.55,IAMWC,Jim Lake,Undetermined,,Lake,Water Feature,LAKE,0c885697849c20c3823737f328fc7c9d,64-21-W4,Alberta,"250000",1952-08-14,Alberta Culture and Tourism,./0.png
-114.4363889,50.5661111,IAMWF,Jim Ridge,Undetermined,,Ridge,Terrain Feature,MTN,0c88583a849c20c39bc0c0a75e856d59,18-4-W5,Alberta,"50000",1943-12-08,Alberta Culture and Tourism,./3.png
-111.642333,58.803778,IAMWE,Jimmys Slough,Undetermined,,Slough,Water Feature,LAKE,0c88573c849c20c37f7954c3cef7198e,113-10-W4,Alberta,"50000",1968-04-02,Alberta Culture and Tourism,./0.png
-118.3836111,53.9569444,IAMWG,Joachim Creek,Undetermined,,Creek,Water Feature,RIV,0c8857ba849c20c3cce6971b32e5890c,57-3-W6,Alberta,"250000",1947-07-03,Alberta Culture and Tourism,./0.png
-119.140694,53.985194,IAMWH,Joachim Creek,Undetermined,,Creek,Water Feature,RIV,0c8858dc849c20c3b04643e5dd3ca158,58-8-W6,Alberta,"50000",1953-03-05,Alberta Culture and Tourism,./0.png
-118.45,53.916667,IAMWI,Joachim Lakes,Undetermined,,Lakes,Water Feature,LAKE,0c88589b849c20c36055ffa5779a5f63,57-3-W6,Alberta,"250000",1947-07-03,Alberta Culture and Tourism,./0.png
-116.8719444,52.4977778,IAMWJ,Job Creek,Undetermined,,Creek,Water Feature,RIV,0cffc4ae849c20c3f9556c2ebc3bc159,40-21-W5,Alberta,"250000",1935-03-05,Alberta Culture and Tourism,./0.png
-116.8527778,52.3683333,IAMWK,Job Lake,Undetermined,,Lake,Water Feature,LAKE,0c88591d849c20c3be910fdba3b17da5,39-20-W5,Alberta,"250000",1975-10-30,Alberta Culture and Tourism,./0.png
-116.7577778,52.3513889,IAMWL,Job Pass,Undetermined,,Pass,Terrain Feature,VALL,0c8859ac849c20c3f33f5c58c2d5e177,39-19-W5,Alberta,"250000",1958-10-28,Alberta Culture and Tourism,./3.png
-115.9130556,52.3927778,IAMWM,Jock Creek,Undetermined,,Creek,Water Feature,RIV,0c88596c849c20c367d7040cb8536942,39-14-W5,Alberta,"250000",1941-09-16,Alberta Culture and Tourism,./0.png
-115.9686111,52.3125,IAMWN,Jock Lake,Undetermined,,Lake,Water Feature,LAKE,0c885a60849c20c362807447597e66c5,32-28-14-W5,Alberta,"250000",1941-09-16,Alberta Culture and Tourism,./0.png
-112.8427778,59.0922222,IAMWO,Jodoin Creek,Undetermined,,Creek,Water Feature,RIV,0c885a1a849c20c36c5db7ebf35cb72f,116-17-W4,Alberta,"250000",1950-11-02,Alberta Culture and Tourism,./0.png
-110.7208333,56.3847222,IASLI,Joe's Lake,Undetermined,,Lake,Water Feature,LAKE,0cadf0cf849c20c3189f95d692d2d509,21-85-5-W4,Alberta,"50000",1991-09-04,Alberta Culture and Tourism,./0.png
-113.5372222,52.3361111,IAMWP,Joffre,Undetermined,,Locality,Populated Place,UNP,0c885aa6849c20c350986f3844a5b08e,9-39-25-W4,Alberta,"1000000",1937-06-01,Alberta Culture and Tourism,./2.png
-111.4305556,58.7394445,IAMWS,John Bull Slough,Undetermined,,Slough,Water Feature,LAKE,0c885ae7849c20c3ce62caf00f3e7acd,112-9-W4,Alberta,"250000",1968-04-02,Alberta Culture and Tourism,./0.png
-115.1494444,58.4958333,IAMWR,John D'Or Prairie,Undetermined,,Locality,Populated Place,UNP,0c885b46849c20c3295197f683bb93cd,30-109-7-W5,Alberta,"7500000",1971-07-29,Alberta Culture and Tourism,./2.png
-115.1033333,58.4786111,IAUCK,John D'Or Prairie 215,Undetermined,,Indian Reserve,Administrative Area,IR,04838d46bbe311d892e2080020a0f4c9,"20,109,7",Alberta,"50000",1990-12-13,Indigenous and Northern Affairs Canada,./1.png
-110.0341667,53.7366667,IAMWX,John Lake,Undetermined,,Lake,Water Feature,LAKE,0c885c16849c20c3f74e4ea1afec2875,55-1-W4,Alberta,"250000",1940-05-21,Alberta Culture and Tourism,./0.png
-114.45,50.683333,IAMXS,John Ware Ridge,Undetermined,,Ridge,Terrain Feature,MTN,c607dfb5d05211d892e2080020a0f4c9,20-4-W5,Alberta,"50000",1970-02-26,Alberta Culture and Tourism,./3.png
-117.0630556,52.4047223,IAMWW,John-John Creek,Undetermined,,Creek,Water Feature,RIV,0d016138849c20c37f5c5783eec610a8,35-39-22-W5,Alberta,"50000",1976-10-18,Alberta Culture and Tourism,./0.png
-114.2930556,53.5311111,IAMWY,Johnnys Lake,Undetermined,,Lake,Water Feature,LAKE,0c885bd5849c20c3688de1aeecf926cd,"52-2,3-W5",Alberta,"250000",1950-04-06,Alberta Culture and Tourism,./0.png
-114.3544444,50.2416667,IAMXC,Johnson Creek,Undetermined,,Creek,Water Feature,RIV,0c885c56849c20c3d58fa6bf89808b4a,15-3-W5,Alberta,"50000",1959-10-28,Alberta Culture and Tourism,./0.png
-115.0894444,51.3919444,IARUK,Johnson Creek,Undetermined,,Creek,Water Feature,RIV,0c8a0c20849c20c37168fec098675878,17-28-8-W5,Alberta,"250000",1987-05-05,Alberta Culture and Tourism,./0.png
-114.0011111,50.1491667,IAMXB,Johnson Creek,Undetermined,,Creek,Water Feature,RIV,0c885cdf849c20c353bbcfe0c5e679d1,"13,14-30-W4",Alberta,"50000",1941-12-03,Alberta Culture and Tourism,./0.png
-113.455,50.8244444,IAMXD,Johnson Island,Undetermined,,Island,Terrain Feature,ISL,0c885d62849c20c31fede2736c17482a,31-21-25-W4,Alberta,"250000",1957-05-02,Alberta Culture and Tourism,./3.png
-110.0505556,59.765,IAMXK,Johnson Lake,Undetermined,,Lake,Water Feature,LAKE,0c885ef9849c20c36b99dc1d778e029b,124-1-W4,Alberta,"250000",1954-06-03,Alberta Culture and Tourism,./0.png
-114.1269444,51.7188889,IAMXG,Johnson Lake,Undetermined,,Lake,Water Feature,LAKE,0c885dc9849c20c36c3644934c75a935,32-1-W5,Alberta,"250000",1955-09-01,Alberta Culture and Tourism,./0.png
-112.8677778,58.3425,IAMXJ,Johnson Lake,Undetermined,,Lake,Water Feature,LAKE,0c885f4c849c20c3f7dac64c90c97a42,"107,108-18-W4",Alberta,"250000",1963-08-10,Alberta Culture and Tourism,./0.png
-111.8913889,50.5944444,IAMXE,Johnson Lake,Undetermined,,Lake,Water Feature,LAKE,0c885d21849c20c3647cd6c892ec5e3a,19-14-W4,Alberta,"50000",1960-01-21,Alberta Culture and Tourism,./0.png
-115.4841667,51.1961111,IAMXF,Johnson Lake,Undetermined,,Lake,Water Feature,LAKE,0c885e37849c20c39660e35d64e07c1b,26-11-W5,Alberta,"50000",1959-04-03,Alberta Culture and Tourism,./0.png
-110.3888889,57.6608334,IAMXI,Johnson Lake,Undetermined,,Lake,Water Feature,LAKE,0c885e99849c20c385ba04601fd6d3c3,100-3-W4,Alberta,"250000",1950-06-02,Alberta Culture and Tourism,./0.png
-111.8075,50.3444444,IAMXM,Johnson Reservoir,Undetermined,,Reservoir,Water Feature,LAKE,0c885fb2849c20c3684b19fb3564b630,16-14-W4,Alberta,"250000",1959-12-10,Alberta Culture and Tourism,./0.png
-115.8352778,51.2527778,IAMXP,Johnston Canyon,Undetermined,,Canyon,Terrain Feature,VALL,0c88606d849c20c3fae6b0dadd68621c,26-14-W5,Alberta,"50000",1924-03-31,Alberta Culture and Tourism,./3.png
-115.85,51.233333,IAMXQ,Johnston Creek,Undetermined,,Creek,Water Feature,RIV,0c885ff3849c20c35b0f8ca8b1fa4180,26-14-W5,Alberta,"250000",1956-11-02,Alberta Culture and Tourism,./0.png
-112.105,55.3941666,IBABF,Johnston Lake,Undetermined,,Lake,Water Feature,LAKE,fca78c25010011dea89a080020a0f4c9,74-14-W4,Alberta,"50000",2006-12-14,Alberta Culture and Tourism,./0.png
-111.44444,54.427778,IATKY,Jolie Butte,Undetermined,,Butte,Terrain Feature,MTN,0d023135849c20c3eddfd25db13e17ed,63-10-4W,Alberta,"50000",1997-09-09,Alberta Culture and Tourism,./3.png
-117.4044444,52.4175,IAMXZ,Jonas Creek,Undetermined,,Creek,Water Feature,RIV,0c8860af849c20c3ce3a109b32d304d6,40-24-W5,Alberta,"250000",1935-03-05,Alberta Culture and Tourism,./0.png
-117.1711111,52.3355555,IAMYA,Jonas Pass,Undetermined,,Pass,Terrain Feature,VALL,0cffc4f0849c20c3e59ce076e83bd274,39-23-W5,Alberta,"250000",1935-03-05,Alberta Culture and Tourism,./3.png
-117.2166667,52.3666666,IAMYB,Jonas Shoulder,Undetermined,,Ridge,Terrain Feature,MTN,0c8860ef849c20c380155d4cd73a2383,23-39-23-W5,Alberta,"50000",1977-06-01,Alberta Culture and Tourism,./3.png
-113.45028,52.236667,IASVE,Jones Creek,Undetermined,,Creek,Water Feature,RIV,0cae19fe849c20c3949da2598eac2e6e,1-38-25-W4,Alberta,"250000",1991-10-03,Alberta Culture and Tourism,./0.png
-119.0033333,55.3905556,IAMYE,Jones Lake,Undetermined,,Lake,Water Feature,LAKE,0c88613f849c20c36d4d870335affdf5,74-7-W6,Alberta,"250000",1952-05-01,Alberta Culture and Tourism,./0.png
-119.8044444,53.5311111,IAATF,Jones Pass,Undetermined,,Pass,Terrain Feature,VALL,0c82a638849c20c3320d6bc3ff7fce3a,52-13-W6,Alberta,"250000",1925-01-13,Alberta Culture and Tourism,./3.png
-112.8386111,53.6338889,IASON,Jordan Lake,Undetermined,,Lake,Water Feature,LAKE,9f2d0ca8c6cb11d892e2080020a0f4c9,2-54-20-W4,Alberta,"50000",1991-10-17,Alberta Culture and Tourism,./0.png
-113.2,54.566667,IAOCA,Joseph Lake,Undetermined,,Lake,Water Feature,LAKE,0c88e06f849c20c3accdcd85a3664b69,64-22-W4,Alberta,"250000",1952-08-14,Alberta Culture and Tourism,./0.png
