X,Y,X,Y,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv,auxiliary_,icon_url
-115.460004,54.844746,,,"0016534",Canadian Natural Resources Limited(0HE9),54.844746000000001,-115.460003999999998,972.000000000000000,968.299999999999955,10:33:06.000,BWL,J,Suspension,25 Jul 2019,,,
-115.205918,54.954134,,,"0016543",ACCEL Canada Holdings Limited(A7ND),54.954134000000003,-115.205917999999997,879.700000000000045,875.700000000000045,02:07:06.000,BWL,J,Issued,06 Jan 1959,,,
-115.44718,54.852436,,,"0016624",Acquisition Oil Corp.(A7N3),54.852435999999997,-115.447180000000003,984.799999999999955,981.500000000000000,04:03:06.000,BWL,J,Suspension,28 Dec 2006,,,
-115.44718,54.852436,,,"0016624",Acquisition Oil Corp.(A7N3),54.852435999999997,-115.447180000000003,984.799999999999955,981.500000000000000,04:03:06.000,BWL,J,Suspension,28 Dec 2006,,,
-115.460231,54.830247,,,"0016625",Canadian Natural Resources Limited(0HE9),54.830247000000000,-115.460230999999993,982.700000000000045,979.000000000000000,10:28:06.000,BWL,J,Issued,27 Jan 1959,,,
-115.421738,54.779625,,,"0016657",Canadian Natural Resources Limited(0HE9),54.779625000000003,-115.421738000000005,1136.000000000000000,1132.000000000000000,04:11:06.000,BWL,J,Abandoned,11 Oct 2000,,,./1.png
-115.472563,54.76518,,,"0016658",Canadian Natural Resources Limited(0HE9),54.765180000000001,-115.472562999999994,1192.400000000000091,1185.099999999999909,04:04:06.000,BWL,J,Issued,04 Feb 1959,,,
-115.447141,54.779664,,,"0016659",Canadian Natural Resources Limited(0HE9),54.779663999999997,-115.447141000000002,1159.500000000000000,1154.900000000000091,04:10:06.000,BWL,J,Issued,04 Feb 1959,,,
-115.446446,54.76487,,,"0016660",Canadian Natural Resources Limited(0HE9),54.764870000000002,-115.446445999999995,1268.599999999999909,1264.599999999999909,04:03:06.000,BWL,J,Suspension,20 Sep 2015,,,
-115.472583,54.852434,,,"0016674",Acquisition Oil Corp.(A7N3),54.852434000000002,-115.472583000000000,985.399999999999977,980.500000000000000,04:04:06.000,BWL,J,Amended,02 Feb 1996,,,
-115.472583,54.852434,,,"0016674",Acquisition Oil Corp.(A7N3),54.852434000000002,-115.472583000000000,985.399999999999977,980.500000000000000,04:04:06.000,BWL,J,Amended,02 Feb 1996,,,
-115.434564,54.772257,,,"0016676",Canadian Natural Resources Limited(0HE9),54.772257000000003,-115.434563999999995,1204.599999999999909,1200.299999999999955,10:03:06.000,BWL,J,Abandoned,12 Dec 1989,,,./1.png
-115.497506,54.79398,,,"0016681",Canadian Natural Resources Limited(0HE9),54.793979999999998,-115.497506000000001,1076.200000000000045,1073.200000000000045,04:17:06.000,BWL,J,Issued,05 Feb 1959,,,
-115.522842,54.794242,,,"0016700",Canadian Natural Resources Limited(0HE9),54.794241999999997,-115.522841999999997,1050.299999999999955,1047.599999999999909,04:18:06.000,BWL,J,Suspension,07 Nov 2007,,,
-115.408436,54.786426,,,"0016723",Canadian Natural Resources Limited(0HE9),54.786425999999999,-115.408435999999995,1069.500000000000000,1065.299999999999955,10:11:06.000,BWL,J,Suspension,16 Dec 2014,,,
-115.434552,54.736008,,,"0016748",Canadian Natural Resources Limited(0HE9),54.736007999999998,-115.434551999999996,1177.099999999999909,1173.500000000000000,04:27:06.000,BWL,J,Suspension,06 Nov 2019,,,
-115.472535,54.743219,,,"0016749",Canadian Natural Resources Limited(0HE9),54.743219000000003,-115.472534999999993,1214.599999999999909,1210.700000000000045,10:29:06.000,BWL,J,Suspension,30 Sep 2010,,,
-115.327915,54.761535,,,"0016755",Aspenleaf Energy Limited(A74X),54.761535000000002,-115.327915000000004,1225.900000000000091,1222.200000000000045,14:32:06.000,BWL,J,Suspension,07 Aug 2016,,,
